ID,Symptom,Remedy (English),Remedy (Siddha Term),Primary Ingredients,Preparation Method,Dosage,Target Dosha
1,Tiredness,Drink curry leaves juice daily,Karuveppilai Kasayam,"Fresh curry leaves, Water","Grind a handful of fresh curry leaves with a little water, strain, and drink the juice","Every morning on an empty stomach","Pitham, Kabham"
2,Pale skin,Eat beetroot and carrot salad,Raktapushti Unavu,"Beetroot, Carrot, Amla","Juice one small beetroot, one carrot, and half an amla. Can also be consumed as a salad","Once daily","Pitham"
3,Dizziness,Soak dry grapes in water overnight and drink,Thiraatchai Kasayam,"Dry grapes, Water","Soak a handful of dry grapes in a cup of water overnight. Drink the water and eat the grapes in the morning","Every morning","Vatham, Pitham"
4,Shortness of breath,Take dates with milk,Perichchampazham Paal,"Dry Dates, Milk, Ghee","Soak 2-3 deseeded dates. Boil them in a glass of milk. A teaspoon of ghee can be added","Once daily, preferably in the evening","Vatham"
5,Headache,Consume pomegranate juice regularly,Maathulai Manotharam,"Pomegranate juice, Palm Jaggery","Gently heat a cup of pomegranate juice with a tablespoon of palm jaggery to form a syrup","1-2 teaspoons twice a day","Pitham"
6,Cold hands and feet,Eat spinach daily,Pasalaikeerai Soop,"Spinach leaves, Garlic, Onions, Pepper","Blanch spinach leaves and blend into a soup with sautéed onions, garlic, and a pinch of pepper","A bowl daily with meals","Pitham, Kabham"
7,Chest pain,Drink gooseberry juice with honey,Elumichai Madhu,"Indian Gooseberry, Honey","Steam or grate fresh amla and submerge in a jar of pure honey for a week. Consume 1 tsp of the infused honey","1 teaspoon twice a day","Tridoshic"
8,Brittle nails,Eat black sesame seeds with jaggery,Ellu Urundai,"Black sesame seeds, Jaggery","Dry roast a cup of sesame seeds, grind coarsely. Mix with melted jaggery, and roll into small balls","1-2 balls daily","Vatham, Kabham"
9,Hair loss,Apply hibiscus hair oil and eat iron-rich food,Sembaruthi Thailam,"Hibiscus flowers, Coconut oil, Jaggery","Boil a handful of dried hibiscus petals in a cup of coconut oil until charred. Strain and cool","Apply oil 2-3 times a week. Consume jaggery water daily","Pitham"
10,Poor concentration,Eat soaked almonds and walnuts,Patha Mandharai,"Almonds, Walnuts, Ghee","Soak 4-5 almonds and 2 walnuts overnight. Peel the almonds and grind into a paste with ghee and milk","Consume the paste every morning","Vatham, Pitham"
